Iteration,Best MCC,Number of Features Selected
1,0.9585691699857509,17
2,0.9585691699857509,17
3,0.9585691699857509,17
4,0.9593968395331433,13
5,0.9593968395331433,13
6,0.9593968395331433,13
7,0.9593968395331433,13
8,0.9694491042492576,16
9,0.9694491042492576,16
10,0.9694491042492576,16
11,0.9694491042492576,16
12,0.9694491042492576,16
13,0.9694491042492576,16
14,0.9694491042492576,16
15,0.9694491042492576,16
