Model,Selected Features Count,Accuracy,F1-Score,Recall,MCC,AUPRC,Training Time
Baseline SVM,30,0.9901702650517816,0.2222222222222222,0.8,0.31893577993840494,0.7005863501380314,19.24443507194519
Hybrid BFA-SVM,16,0.9859575215025452,0.16666666666666666,0.8,0.2699305088439211,0.3026887794161565,12.959263801574707
